site	subsite	easting	northing	presence	pprim_ssite	psec_ssite	phss_5km	phss_2.5km	phss_1km	pm_5km	pm_2.5km	pm_1km	pdens_5km	pdens_2.5km	pdens_1km	edens_5km	edens_2.5km	edens_1km	rdens_5km	rdens_2.5km	rdens_1km
56	168	500481	7087469	0	0.00	0.00	47.06	70.55	97.77	12.68	1.57	0.00	0.41	0.56	0.32	25.29	27.66	4.08	999.99	646.12	349.77
57	169	501192	7087741	1	10.00	0.00	48.40	75.61	95.50	12.47	3.52	0.86	0.33	0.31	1.59	23.17	25.32	12.32	685.37	745.63	355.20
57	170	501191	7087835	0	5.00	0.00	48.48	77.24	93.74	12.30	3.62	1.21	0.37	0.31	2.23	23.01	24.75	17.00	699.75	734.70	711.01
57	171	501205	7087933	1	15.00	0.00	48.50	78.69	92.74	12.09	3.87	1.35	0.38	0.41	1.59	22.84	24.28	21.20	706.66	723.38	761.69
58	172	501291	7088484	1	5.00	0.00	48.43	80.91	92.42	10.43	4.77	1.47	0.34	0.15	0.96	21.03	19.77	21.79	739.95	559.57	926.66
58	173	501401	7088467	0	0.00	0.00	48.37	81.31	91.92	10.43	5.45	1.43	0.38	0.15	1.27	20.93	19.83	24.41	703.26	519.73	900.18
58	174	501192	7088456	0	0.00	0.00	48.50	80.45	92.84	10.43	4.28	1.49	0.34	0.15	0.64	21.25	19.83	20.21	746.10	610.09	953.13
59	175	500548	7096716	0	10.00	0.00	35.02	24.95	29.47	8.73	0.23	0.00	0.27	0.66	0.32	18.12	16.10	20.24	140.96	118.97	0.00
59	176	500503	7096788	0	15.00	0.00	35.12	26.08	31.60	8.85	0.31	0.00	0.29	0.61	0.32	18.21	17.13	20.77	139.00	144.44	0.00
59	177	500504	7096910	1	40.00	0.00	35.69	27.82	35.70	8.99	0.53	0.00	0.24	0.61	0.32	18.22	17.86	20.61	129.98	164.16	0.00
60	178	501230	7098205	0	5.00	0.00	42.45	45.31	77.58	10.66	8.06	0.21	0.22	0.36	0.64	15.55	17.10	23.06	65.57	159.58	557.84
60	179	501210	7098099	0	0.00	0.00	41.81	43.51	74.45	10.70	7.39	0.17	0.22	0.31	0.96	15.68	16.81	19.47	72.26	162.28	473.32
60	180	501215	7097994	0	0.00	0.00	41.27	41.73	71.03	10.70	6.70	0.16	0.22	0.31	0.64	15.78	16.85	10.63	77.00	156.87	371.89
61	181	500533	7098224	0	0.00	0.00	41.54	45.97	80.75	10.68	9.64	0.49	0.28	0.41	0.32	17.23	18.51	25.93	94.42	175.12	490.22
61	182	500431	7098216	0	0.00	0.00	41.54	46.22	77.72	10.63	9.40	0.53	0.28	0.36	0.32	17.68	19.15	25.18	102.82	176.27	490.22
61	183	500321	7098218	1	0.00	0.00	41.62	46.44	73.29	10.60	9.25	0.56	0.27	0.41	0.32	18.17	19.52	25.69	122.67	177.13	507.13
62	184	505027	7076497	1	25.00	0.00	34.63	45.82	69.43	12.32	6.86	1.30	0.60	0.71	0.32	28.22	29.97	37.48	897.40	842.50	519.75
62	185	505054	7076614	1	40.00	0.00	34.93	44.89	72.58	12.48	6.82	0.86	0.57	0.81	0.32	28.44	30.65	36.67	915.36	844.66	562.31
62	186	505111	7076705	1	5.00	5.00	35.07	43.73	73.42	12.73	6.71	1.53	0.59	1.12	0.32	28.70	30.71	35.67	924.69	827.38	592.35
63	187	504249	7075705	0	25.00	0.00	33.67	55.60	70.58	7.60	6.87	5.95	0.52	0.61	0.64	25.81	29.69	23.01	762.97	971.14	818.24
63	188	504241	7075542	0	25.00	0.00	33.44	56.62	69.79	7.41	5.93	6.43	0.50	0.51	0.95	25.21	29.29	18.48	736.50	915.21	768.78
63	189	504346	7075520	0	5.00	0.00	33.46	55.36	65.69	7.92	5.34	5.95	0.47	0.51	0.32	25.17	29.16	18.31	733.03	845.45	700.84
64	190	502782	7075752	0	0.00	55.00	36.70	52.51	54.27	4.69	9.67	21.53	0.57	0.76	2.23	26.75	38.73	38.11	905.13	1061.70	2027.99
64	191	502815	7075891	0	0.00	60.00	36.88	53.20	54.27	4.87	10.44	20.20	0.52	0.71	1.59	27.51	39.20	38.66	949.04	1054.57	1826.27
64	192	502867	7076018	0	0.00	55.00	36.96	54.15	52.96	5.12	10.93	18.69	0.52	0.76	2.23	28.29	39.65	37.32	966.83	1050.57	1517.93
65	193	498327	7083360	0	0.00	25.00	51.41	58.56	41.73	9.63	1.36	1.82	0.50	0.71	1.59	37.25	32.23	50.26	1222.68	1487.35	207.10
65	194	498385	7083475	0	0.00	50.00	51.68	57.19	43.73	9.88	1.29	0.97	0.50	0.81	1.59	36.81	33.59	52.35	1214.49	1496.79	175.76
65	195	498406	7083617	0	0.00	95.00	52.05	55.30	43.52	10.21	1.38	0.16	0.53	0.87	1.91	36.22	35.43	50.23	1196.78	1516.87	202.09
66	196	498961	7083896	0	0.00	0.00	52.29	49.62	25.36	10.12	2.37	0.00	0.64	1.12	2.55	34.89	38.25	40.08	1282.85	1592.96	284.05
66	197	498774	7083849	0	0.00	40.00	52.39	51.08	32.56	10.33	2.18	0.00	0.55	0.97	1.91	35.26	37.62	43.48	1242.66	1537.53	319.29
66	198	498628	7083821	0	0.00	70.00	52.42	52.35	38.10	10.45	1.86	0.00	0.50	0.97	1.91	35.44	37.58	46.25	1218.95	1545.09	303.62
67	199	508855	7078160	1	0.00	0.00	15.85	16.56	33.17	16.52	23.32	19.45	0.42	0.87	0.96	20.11	35.14	46.89	498.73	701.65	335.16
67	200	508872	7078065	1	0.00	0.00	15.66	16.50	34.71	16.47	23.03	21.35	0.43	0.87	1.27	19.99	34.93	46.59	488.21	683.07	301.08
67	201	508741	7077945	1	5.00	5.00	16.10	17.28	30.65	16.63	22.40	20.62	0.46	0.92	2.55	20.50	35.35	45.91	505.35	691.40	311.64
68	202	498441	7078539	0	5.00	10.00	42.64	54.80	50.86	5.21	2.75	1.59	0.69	1.27	3.50	37.77	57.62	79.26	1091.67	1178.43	1721.52
68	203	498526	7078441	0	5.00	20.00	42.53	55.20	51.40	5.36	2.78	1.34	0.70	0.76	3.50	37.66	58.04	76.62	1088.82	1212.60	1234.60
68	204	498617	7078418	0	0.00	45.00	42.78	56.16	52.89	5.48	2.75	1.91	0.65	0.71	1.91	37.90	58.04	73.61	1121.03	1241.36	1387.77
69	205	497851	7078751	0	0.00	0.00	41.80	47.35	43.89	4.23	3.92	0.23	0.65	0.87	4.14	36.39	58.08	92.22	975.00	1139.24	1602.67
69	206	497927	7078753	0	15.00	5.00	42.00	48.78	43.85	4.31	3.89	0.41	0.66	0.92	5.41	36.64	58.28	88.27	1000.58	1145.94	1683.69
69	207	498008	7078702	0	15.00	0.00	41.88	49.73	44.82	4.43	3.80	0.52	0.69	0.92	3.50	36.84	59.07	85.52	1019.00	1133.34	1740.15
70	208	480367	7077186	0	0.00	10.00	11.05	8.47	16.56	17.01	33.72	48.19	0.99	1.07	2.23	37.17	45.68	56.58	204.13	127.00	173.74
70	209	480361	7077326	0	0.00	0.00	10.67	8.67	17.71	17.37	33.93	44.34	0.99	1.02	1.59	37.55	44.76	56.49	200.43	134.97	201.76
70	210	480315	7077394	0	0.00	0.00	10.40	8.82	18.32	17.47	34.06	42.52	1.03	1.02	1.59	37.56	44.00	52.94	197.19	137.74	229.78
71	211	489919	7084630	0	0.00	0.00	43.60	55.01	72.46	7.10	8.08	5.03	0.73	0.51	0.95	40.48	38.11	28.23	952.45	849.48	701.54
71	212	489885	7084774	1	0.00	25.00	43.27	53.27	77.24	7.32	8.16	2.59	0.69	0.51	0.32	40.20	38.79	27.52	987.33	883.62	702.49
71	213	489927	7084850	0	0.00	5.00	43.28	52.63	78.40	7.56	8.46	2.44	0.65	0.46	0.32	39.99	39.14	28.84	981.74	893.62	695.86
72	214	497080	7077615	0	45.00	0.00	33.83	25.52	21.30	3.12	5.46	5.03	0.64	1.32	2.87	34.38	56.73	56.65	680.25	901.53	514.23
72	215	497090	7077723	0	15.00	50.00	34.34	26.24	23.63	3.16	5.14	4.26	0.64	1.12	3.18	34.80	57.57	57.58	708.45	947.12	500.86
72	216	497093	7077824	1	50.00	20.00	34.76	26.73	25.71	3.17	4.83	3.15	0.69	1.43	3.50	35.32	58.39	58.38	739.36	1003.13	492.98
73	217	495912	7100632	0	0.00	25.00	33.02	36.90	35.86	23.04	25.98	13.22	0.65	0.51	1.27	24.03	23.60	42.36	259.49	399.57	567.59
73	218	495863	7100570	0	0.00	80.00	32.85	35.53	36.11	22.85	25.47	11.24	0.52	0.56	0.95	24.26	23.86	42.75	280.51	394.70	555.07
73	219	495827	7100454	0	0.00	10.00	32.86	33.88	36.32	22.43	24.37	9.54	0.60	0.61	1.27	24.41	24.35	42.35	297.54	373.98	512.54
74	220	498174	7099995	0	0.00	20.00	46.77	54.04	74.97	15.03	21.85	24.94	0.46	0.41	0.32	22.00	16.63	0.75	219.11	236.31	0.00
74	221	498155	7099837	0	0.00	10.00	46.38	51.99	74.99	14.38	20.63	22.40	0.53	0.41	0.95	22.04	17.17	2.78	230.75	210.12	16.90
74	222	498212	7100147	0	0.00	0.00	47.29	56.49	73.50	15.58	22.93	26.50	0.43	0.36	0.32	21.95	15.92	0.00	217.76	242.41	0.00
75	223	501368	7100986	0	5.00	0.00	55.32	74.62	80.28	19.52	18.50	14.58	0.19	0.25	0.32	14.28	13.72	4.68	87.87	62.21	0.00
75	224	501449	7101111	1	10.00	0.00	56.19	73.70	78.21	19.86	18.82	11.67	0.18	0.20	0.32	14.16	14.06	5.79	84.92	56.80	0.00
75	225	501529	7101234	1	45.00	0.00	57.06	72.82	75.33	20.18	18.95	9.07	0.15	0.15	0.32	14.08	14.04	6.72	82.03	51.39	0.00
76	226	502752	7099409	0	5.00	0.00	50.64	52.87	70.46	16.83	16.67	8.43	0.18	0.20	2.86	11.71	22.79	46.16	45.83	97.37	185.95
76	227	502741	7099299	0	5.00	0.00	49.97	52.32	71.65	16.60	16.31	7.73	0.13	0.20	1.59	11.84	22.57	45.81	47.31	105.48	253.56
76	228	502739	7099188	0	5.00	0.00	49.24	51.70	72.99	16.40	15.90	6.19	0.13	0.20	1.59	11.88	22.19	44.12	47.92	110.89	338.08
77	229	501472	7102144	1	30.00	0.00	60.53	75.35	81.25	22.78	15.04	7.64	0.11	0.05	0.32	14.45	10.58	7.27	86.64	0.00	0.00
77	230	501371	7102146	0	0.00	0.00	60.19	75.92	82.17	22.90	15.07	8.52	0.11	0.10	0.32	14.71	9.83	6.24	92.35	0.00	0.00
77	231	501306	7102020	0	0.00	0.00	59.22	75.70	81.30	22.70	16.04	9.55	0.11	0.10	0.32	14.80	9.36	6.19	94.57	0.00	0.00
78	232	502750	7103575	0	0.00	40.00	62.69	59.62	87.38	27.60	29.25	8.77	0.18	0.05	0.64	11.09	13.25	16.55	31.79	2.38	0.00
78	233	502706	7103492	0	0.00	0.00	63.02	60.35	88.42	27.14	28.07	7.88	0.19	0.10	0.64	11.31	12.87	15.85	35.21	1.19	0.00
78	234	502815	7103494	0	0.00	0.00	62.78	58.90	87.37	27.59	29.40	8.88	0.15	0.15	0.64	11.14	13.21	16.28	30.56	0.00	0.00
79	235	502460	7102445	0	20.00	0.00	63.50	67.41	80.41	24.43	17.70	5.52	0.10	0.05	0.32	12.44	14.10	18.93	60.75	0.00	0.00
79	236	502474	7102558	0	20.00	0.00	63.67	66.62	83.44	24.71	18.68	4.93	0.10	0.05	0.64	12.33	13.78	17.43	57.94	0.00	0.00
79	237	502524	7102678	0	0.00	0.00	63.81	65.38	85.93	25.00	20.02	5.35	0.10	0.05	0.32	12.32	13.62	16.76	52.73	0.00	0.00
80	238	498291	7102299	0	30.00	0.00	52.02	59.84	94.58	27.19	26.20	5.42	0.22	0.46	0.32	17.10	7.87	0.00	196.36	201.66	420.12
80	239	498290	7102424	0	0.00	35.00	52.11	59.75	96.32	27.79	25.00	3.68	0.25	0.46	0.32	16.95	8.60	0.00	199.33	196.86	420.12
80	240	498280	7102556	0	0.00	20.00	52.13	59.43	96.62	28.52	23.94	3.38	0.23	0.41	0.32	16.91	10.04	0.00	196.49	195.63	420.12
81	241	505078	7081747	0	0.00	0.00	33.25	46.09	77.60	14.45	13.22	13.20	0.59	0.87	0.64	25.83	23.96	18.27	1307.58	1741.22	1798.99
81	242	505171	7081748	0	0.00	0.00	32.58	45.66	81.60	14.77	12.65	11.08	0.51	0.66	0.64	25.57	23.32	13.69	1276.90	1698.83	1743.20
81	243	505276	7081725	0	0.00	0.00	31.92	44.89	85.34	15.11	12.12	8.72	0.55	0.76	0.64	25.50	22.94	10.43	1234.85	1649.74	1810.12
82	244	505736	7081717	0	10.00	0.00	29.53	42.12	96.90	15.84	11.70	3.00	0.46	0.56	0.32	25.08	19.78	0.70	1152.66	1436.28	1128.65
82	245	505687	7081775	0	5.00	0.00	29.66	43.07	97.42	15.70	11.78	2.58	0.48	0.61	0.32	24.91	20.44	0.00	1164.94	1459.57	1015.49
82	246	505558	7081812	0	5.00	0.00	30.16	44.35	95.83	15.49	11.87	2.65	0.46	0.56	0.32	24.81	21.19	2.45	1195.59	1526.70	1510.02
83	247	504563	7083033	0	50.00	0.00	35.41	54.96	75.13	11.25	17.77	3.46	0.50	0.25	1.27	23.17	25.01	35.47	1301.27	1526.85	1989.60
83	248	504461	7083071	0	15.00	0.00	35.94	54.15	72.79	11.10	17.56	3.78	0.48	0.31	1.27	22.86	24.74	36.64	1322.58	1497.39	2037.07
83	249	504351	7083051	0	0.00	0.00	36.57	52.99	70.14	10.99	17.01	4.14	0.50	0.25	1.27	22.82	24.78	38.58	1347.66	1580.42	2286.72
84	250	504403	7085465	0	50.00	0.00	42.99	47.38	47.96	13.20	17.07	19.80	0.20	0.31	0.32	17.95	22.06	25.51	947.32	1168.07	1101.42
84	251	504448	7085571	0	25.00	0.00	42.94	47.30	48.18	13.17	16.97	22.49	0.20	0.41	0.32	17.59	22.07	21.47	918.65	1155.65	875.80
84	252	504488	7085695	0	20.00	0.00	43.00	47.42	48.63	13.17	16.95	24.57	0.18	0.41	0.32	17.25	22.02	19.32	865.08	1143.82	794.99
85	253	505327	7086975	0	40.00	0.00	38.88	41.83	62.32	12.48	19.20	30.33	0.23	0.31	0.32	12.03	12.47	4.49	510.17	666.64	1129.26
85	254	505309	7086885	0	10.00	0.00	38.95	42.18	61.89	12.65	18.88	31.74	0.14	0.31	0.32	12.19	12.52	4.33	526.53	687.34	1094.91
85	255	505282	7086780	0	40.00	0.00	39.00	42.58	61.68	12.82	18.60	33.31	0.17	0.20	0.32	12.53	12.64	4.09	544.72	717.60	928.48
86	256	499302	7101984	1	60.00	0.00	57.89	73.18	82.77	21.01	20.16	17.23	0.25	0.20	0.32	18.58	5.00	0.00	156.48	110.43	0.00
86	257	499196	7101995	1	10.00	0.00	57.59	71.80	84.99	21.37	21.06	15.01	0.31	0.15	0.32	18.45	5.02	0.00	161.94	120.03	0.00
86	258	499099	7102033	1	10.00	0.00	57.40	70.38	87.53	21.91	21.73	12.47	0.25	0.20	0.32	18.28	5.44	0.00	167.36	124.84	0.00
87	259	497931	7106416	1	25.00	0.00	49.32	46.51	61.70	30.19	34.95	24.69	0.06	0.51	0.32	8.88	22.87	35.24	115.88	190.09	295.66
87	260	498046	7106404	0	40.00	10.00	50.33	47.97	64.86	30.10	33.06	19.51	0.12	0.51	0.32	9.07	23.14	34.51	110.60	174.11	282.46
87	261	498184	7106363	1	25.00	0.00	51.63	49.52	68.10	30.04	31.00	13.38	0.08	0.36	0.64	9.31	23.75	34.57	105.33	151.48	237.78
88	262	498302	7092242	0	0.00	0.00	34.19	32.21	76.36	5.81	5.08	0.00	0.50	0.56	0.32	23.67	20.25	38.56	692.13	841.73	1593.89
88	263	498403	7092277	1	35.00	0.00	34.11	30.92	74.27	5.76	4.94	0.00	0.51	0.41	0.32	23.13	19.73	36.85	672.07	792.48	1582.60
88	264	498483	7092340	1	35.00	0.00	33.90	30.03	72.05	5.64	4.86	0.00	0.53	0.31	0.32	22.59	19.24	37.43	656.98	728.81	1522.29
89	265	494686	7088838	0	0.00	15.00	40.35	45.25	41.41	12.13	21.37	0.00	0.65	0.20	0.32	36.65	28.03	33.58	1041.00	1138.05	1789.99
89	266	494681	7088736	1	0.00	10.00	40.66	45.26	45.75	11.96	22.89	0.68	0.62	0.25	0.32	36.56	26.62	33.79	1040.94	1027.71	1906.27
89	267	494771	7088711	0	0.00	10.00	40.99	44.85	45.59	11.93	24.04	0.92	0.60	0.25	0.32	36.57	25.87	34.16	1035.79	1288.45	1908.96
90	268	495014	7092217	1	0.00	20.00	34.61	29.77	47.95	8.70	6.26	0.00	0.53	0.81	0.96	35.54	36.98	34.94	882.05	726.99	618.64
90	269	494920	7092254	0	0.00	20.00	34.55	29.53	45.79	8.63	6.24	0.00	0.53	1.02	0.96	35.90	37.43	36.08	881.34	582.21	616.92
90	270	494813	7092291	0	0.00	20.00	34.46	29.58	43.07	8.55	6.13	0.00	0.53	0.97	1.27	36.18	37.95	37.16	878.48	587.95	625.62
91	271	496693	7090254	0	10.00	5.00	40.32	38.05	58.38	12.52	6.47	2.71	0.47	0.66	0.32	29.98	26.21	11.62	872.88	1558.28	5164.89
91	272	496536	7090287	0	0.00	0.00	39.82	38.26	52.81	12.65	6.32	1.77	0.52	0.87	0.32	30.46	27.51	11.73	884.42	1513.01	4851.84
91	273	496418	7090307	1	10.00	0.00	39.53	38.26	48.77	12.76	6.18	0.84	0.53	1.02	0.96	30.87	28.62	12.56	893.15	1502.00	4667.33
92	274	497015	7089901	0	0.00	20.00	42.44	37.42	70.73	12.31	8.11	7.37	0.48	0.76	0.64	28.56	26.90	18.02	875.76	1648.13	4681.88
92	275	497026	7090006	0	10.00	15.00	41.97	37.76	69.05	12.33	7.53	5.63	0.41	0.66	0.64	28.53	26.63	18.43	858.18	1620.62	5080.28
92	276	497027	7090101	0	0.00	10.00	41.46	38.14	66.94	12.33	7.06	4.20	0.42	0.61	0.64	28.69	26.24	18.29	853.55	1610.35	5419.84
93	277	497285	7094625	0	5.00	95.00	27.01	41.47	61.32	3.86	13.27	18.90	0.47	0.76	1.59	26.68	33.76	24.50	601.02	613.57	873.69
93	278	497273	7094529	0	0.00	35.00	26.75	42.63	60.09	3.80	13.27	20.85	0.56	0.97	2.23	26.79	33.64	21.85	614.13	609.99	893.70
93	279	497272	7094417	0	20.00	20.00	26.46	43.97	59.46	3.84	13.27	22.82	0.52	0.66	0.64	26.95	34.14	20.23	638.31	668.11	855.81
94	280	501327	7082402	1	30.00	25.00	52.42	45.49	73.51	8.40	11.39	11.24	0.50	0.76	0.32	31.78	28.21	27.99	1560.49	2103.94	3070.52
94	281	501304	7082271	0	0.00	0.00	51.76	46.67	78.91	8.44	11.27	6.12	0.55	0.66	0.32	32.40	28.40	25.80	1570.69	2244.61	2852.62
94	282	501285	7082170	1	0.00	0.00	51.39	47.85	81.54	8.33	11.13	4.10	0.60	0.51	0.32	32.92	28.17	24.93	1581.59	2239.95	2928.84
95	283	503394	7077452	1	0.00	5.00	41.15	52.35	41.97	7.62	13.57	18.52	0.61	0.46	0.96	33.16	36.73	59.15	1223.98	1240.62	1594.19
95	284	503289	7077511	1	5.00	30.00	41.98	51.68	41.86	7.63	13.46	21.48	0.62	0.76	1.59	33.52	36.32	58.55	1254.14	1212.96	1665.70
95	285	503502	7077439	1	20.00	0.00	40.67	52.60	42.86	7.68	13.53	15.00	0.65	0.61	1.59	32.94	36.72	60.83	1213.90	1224.72	1608.75
96	286	504550	7077795	1	20.00	5.00	39.41	46.66	54.64	9.94	10.05	2.40	0.62	0.36	1.91	31.01	33.83	37.83	1158.83	1165.12	1295.91
96	287	504654	7077770	1	80.00	10.00	38.83	46.17	56.11	10.45	9.49	3.28	0.60	0.25	1.91	30.66	34.92	35.81	1136.66	1169.96	1282.55
96	288	504747	7077745	1	25.00	75.00	38.34	45.47	58.90	10.86	9.04	4.47	0.59	0.46	1.27	30.48	35.59	33.30	1114.80	1173.04	1258.68
97	289	501836	7077132	1	10.00	0.00	43.98	54.23	51.75	5.73	11.81	15.65	0.56	0.87	2.23	34.85	41.36	51.34	1190.69	1159.56	1514.86
97	290	501879	7077272	0	5.00	0.00	44.70	53.98	48.62	5.93	11.73	20.83	0.56	0.76	2.87	35.14	40.36	44.92	1228.31	1116.61	1647.68
97	291	501849	7077365	1	5.00	5.00	45.31	54.16	48.53	5.97	11.59	23.64	0.56	0.71	2.55	35.53	39.83	38.05	1249.23	1085.49	1425.88
98	292	501586	7075551	1	20.00	5.00	37.07	45.80	52.53	4.50	6.67	9.52	0.55	0.81	3.18	29.01	37.38	52.91	918.33	1069.39	1154.67
98	293	501692	7075542	1	10.00	5.00	36.96	46.82	51.31	4.55	6.82	10.37	0.69	0.66	3.50	28.61	37.52	49.33	909.32	1089.42	1306.07
98	294	501810	7075475	1	5.00	0.00	36.79	47.76	51.16	4.52	6.63	10.89	0.51	0.56	2.23	28.01	36.59	48.31	876.21	1094.11	1400.72
99	295	495309	7082779	0	0.00	0.00	47.13	64.41	76.71	9.33	1.03	0.61	0.52	0.66	0.95	36.45	42.38	32.77	899.49	937.02	600.86
99	296	495300	7082684	0	0.00	0.00	46.98	63.87	76.70	9.06	0.91	0.33	0.60	0.66	1.27	36.65	41.78	33.74	898.89	901.86	662.33
99	297	495287	7082570	1	10.00	0.00	46.92	62.93	75.61	8.70	0.84	0.03	0.60	0.46	1.27	37.11	41.14	35.45	895.80	850.61	706.10
100	298	495154	7084152	0	0.00	5.00	49.33	60.31	69.22	11.00	14.32	3.03	0.50	0.36	0.64	35.29	39.79	35.67	1012.67	977.99	19.90
100	299	495133	7084054	1	0.00	10.00	49.17	61.58	71.71	10.91	12.98	2.29	0.48	0.36	0.64	35.16	40.54	34.77	998.71	1012.55	9.95
100	300	495054	7083967	1	0.00	5.00	48.93	62.60	71.43	10.82	11.60	1.91	0.56	0.36	1.59	35.25	41.16	32.28	993.16	999.50	114.74
